date;temp
01.10.2021;12.9
02.10.2021;11.7
03.10.2021;13.6
04.10.2021;11.7
05.10.2021;11
06.10.2021;10
07.10.2021;11.1
08.10.2021;14.2
09.10.2021;13.8
10.10.2021;11.3
11.10.2021;7.1
12.10.2021;6.5
13.10.2021;7.2
14.10.2021;10.8
15.10.2021;7.7
16.10.2021;7
17.10.2021;4.7
18.10.2021;4.5
19.10.2021;11
20.10.2021;10.6
21.10.2021;5
22.10.2021;4.6
23.10.2021;6.6
24.10.2021;10.3
25.10.2021;10.6
26.10.2021;9.1
27.10.2021;11.9
28.10.2021;12.1
29.10.2021;13.7
30.10.2021;11.9
31.10.2021;10.6
01.11.2021;11.2
02.11.2021;9.6
03.11.2021;8
04.11.2021;6.7
05.11.2021;7
06.11.2021;6.9
07.11.2021;8.2
08.11.2021;7.5
09.11.2021;9.6
10.11.2021;8.2
11.11.2021;7.1
12.11.2021;7.7
13.11.2021;8.6
14.11.2021;5.8
15.11.2021;8.4
16.11.2021;9.3
17.11.2021;6.1
18.11.2021;7.5
19.11.2021;9.1
20.11.2021;6.3
21.11.2021;3.1
22.11.2021;4.9
23.11.2021;7.2
24.11.2021;6.8
25.11.2021;2.5
26.11.2021;2.5
27.11.2021;-0.5
28.11.2021;-4
29.11.2021;-2
30.11.2021;0.6
01.12.2021;-2.5
02.12.2021;-2.1
03.12.2021;0.2
04.12.2021;2.6
05.12.2021;0.9
06.12.2021;1.5
07.12.2021;4.1
08.12.2021;3.1
09.12.2021;4.5
10.12.2021;3.3
11.12.2021;0.5
12.12.2021;5.1
13.12.2021;7.1
14.12.2021;6.3
15.12.2021;9.2
16.12.2021;7.3
17.12.2021;7.7
18.12.2021;7.6
19.12.2021;3.8
20.12.2021;0
21.12.2021;0.9
22.12.2021;3.6
23.12.2021;1.1
24.12.2021;-2.2
25.12.2021;-2.9
26.12.2021;-2
27.12.2021;-2.2
28.12.2021;0.7
29.12.2021;2.4
30.12.2021;7.7
31.12.2021;7
01.01.2022;5.6
02.01.2022;8.1
03.01.2022;4.5
04.01.2022;3
05.01.2022;2
06.01.2022;0.3
07.01.2022;4.5
08.01.2022;3.1
09.01.2022;2.9
10.01.2022;3.8
11.01.2022;5.7
12.01.2022;8
13.01.2022;8.4
14.01.2022;4
15.01.2022;3.4
16.01.2022;4.6
17.01.2022;2.7
18.01.2022;5.5
19.01.2022;3.4
20.01.2022;0.1
21.01.2022;3
22.01.2022;6.1
23.01.2022;7.1
24.01.2022;5.9
25.01.2022;5.1
26.01.2022;5.3
27.01.2022;5.2
28.01.2022;3
29.01.2022;6.4
30.01.2022;2.7
31.01.2022;0.2
01.02.2022;2.4
02.02.2022;1.3
03.02.2022;4.9
04.02.2022;2.8
05.02.2022;2.6
06.02.2022;2
07.02.2022;3
08.02.2022;4.9
09.02.2022;4
10.02.2022;2
11.02.2022;0.5
12.02.2022;4.9
13.02.2022;6.6
14.02.2022;4.6
15.02.2022;3.5
16.02.2022;3.4
17.02.2022;2.2
18.02.2022;2.5
19.02.2022;0.4
20.02.2022;1.8
21.02.2022;2.9
22.02.2022;0.9
23.02.2022;4.5
24.02.2022;3.5
25.02.2022;3.4
26.02.2022;4.6
27.02.2022;6.7
28.02.2022;5.7
01.03.2022;4.8
02.03.2022;5.9
03.03.2022;4.5
04.03.2022;4.2
05.03.2022;2.8
06.03.2022;4
07.03.2022;4
08.03.2022;4.3
09.03.2022;8.5
10.03.2022;9.5
11.03.2022;11
12.03.2022;10
13.03.2022;10.6
14.03.2022;9.5
15.03.2022;6.7
16.03.2022;8.1
17.03.2022;6.4
18.03.2022;6.2
19.03.2022;6.4
20.03.2022;6
21.03.2022;5.8
22.03.2022;5.8
23.03.2022;6.4
24.03.2022;8.7
25.03.2022;7.3
26.03.2022;5.8
27.03.2022;6.4
28.03.2022;6
29.03.2022;2.9
30.03.2022;2.8
31.03.2022;3
01.04.2022;2.9
02.04.2022;2.2
03.04.2022;3.4
04.04.2022;3.7
05.04.2022;2.8
06.04.2022;2.8
07.04.2022;3.1
08.04.2022;3.6
09.04.2022;3.9
10.04.2022;4.3
