datetime,vehicles
2018-01-01T01:00+01:00,1017
2018-01-01T02:00+01:00,1123
2018-01-01T03:00+01:00,911
2018-01-01T04:00+01:00,669
2018-01-01T05:00+01:00,484
2018-01-01T06:00+01:00,308
2018-01-01T07:00+01:00,298
2018-01-01T08:00+01:00,271
2018-01-01T09:00+01:00,199
2018-01-01T10:00+01:00,190
2018-01-01T11:00+01:00,317
2018-01-01T12:00+01:00,576
2018-01-01T13:00+01:00,907
2018-01-01T14:00+01:00,1273
2018-01-01T15:00+01:00,1790
2018-01-01T16:00+01:00,2010
2018-01-01T17:00+01:00,1969
2018-01-01T18:00+01:00,1870
2018-01-01T19:00+01:00,1806
2018-01-01T20:00+01:00,1675
2018-01-01T21:00+01:00,1505
2018-01-01T22:00+01:00,1171
2018-01-01T23:00+01:00,793
2018-01-02T00:00+01:00,461
2018-01-02T01:00+01:00,211
2018-01-02T02:00+01:00,152
2018-01-02T03:00+01:00,100
2018-01-02T04:00+01:00,107
2018-01-02T05:00+01:00,132
2018-01-02T06:00+01:00,450
2018-01-02T07:00+01:00,2165
2018-01-02T08:00+01:00,3411
2018-01-02T09:00+01:00,3447
2018-01-02T10:00+01:00,2502
2018-01-02T11:00+01:00,2273
2018-01-02T12:00+01:00,2488
2018-01-02T13:00+01:00,2744
2018-01-02T14:00+01:00,2883
2018-01-02T15:00+01:00,3198
2018-01-02T16:00+01:00,3805
2018-01-02T17:00+01:00,3423
2018-01-02T18:00+01:00,2493
2018-01-02T19:00+01:00,2094
2018-01-02T20:00+01:00,1812
2018-01-02T21:00+01:00,1640
2018-01-02T22:00+01:00,1322
2018-01-02T23:00+01:00,949
2018-01-03T00:00+01:00,500
2018-01-03T01:00+01:00,244
2018-01-03T02:00+01:00,146
2018-01-03T03:00+01:00,109
2018-01-03T04:00+01:00,111
2018-01-03T05:00+01:00,181
2018-01-03T06:00+01:00,474
2018-01-03T07:00+01:00,2094
2018-01-03T08:00+01:00,3422
2018-01-03T09:00+01:00,3640
2018-01-03T10:00+01:00,2710
2018-01-03T11:00+01:00,2618
2018-01-03T12:00+01:00,2660
2018-01-03T13:00+01:00,2822
2018-01-03T14:00+01:00,2997
2018-01-03T15:00+01:00,3327
2018-01-03T16:00+01:00,3866
2018-01-03T17:00+01:00,3529
2018-01-03T18:00+01:00,2632
2018-01-03T19:00+01:00,2247
2018-01-03T20:00+01:00,2017
2018-01-03T21:00+01:00,1767
2018-01-03T22:00+01:00,1377
2018-01-03T23:00+01:00,793
2018-01-04T00:00+01:00,471
2018-01-04T01:00+01:00,257
2018-01-04T02:00+01:00,179
2018-01-04T03:00+01:00,104
2018-01-04T04:00+01:00,104
2018-01-04T05:00+01:00,143
2018-01-04T06:00+01:00,408
2018-01-04T07:00+01:00,2093
2018-01-04T08:00+01:00,3441
