month;wholesale_and_retail_sales_index
2000M01;39,9
2000M02;38,9
2000M03;42,4
2000M04;41,1
2000M05;46,9
2000M06;47,4
2000M07;45,7
2000M08;48,1
2000M09;45,2
2000M10;45
2000M11;46,3
2000M12;60,5
2001M01;41,7
2001M02;38,2
2001M03;43,9
2001M04;41,5
2001M05;46,3
2001M06;49,4
2001M07;46,1
2001M08;48,9
2001M09;44,5
2001M10;47,4
2001M11;48,7
2001M12;61,6
2002M01;44
2002M02;40
2002M03;44,7
2002M04;46
2002M05;49,2
2002M06;51
2002M07;49,7
2002M08;51,2
2002M09;47,2
2002M10;50,6
2002M11;51,7
2002M12;64,1
2003M01;45,2
2003M02;41,4
2003M03;45,7
2003M04;47,6
2003M05;50,1
2003M06;52,1
2003M07;52,1
2003M08;52,3
2003M09;49,9
2003M10;52,5
2003M11;50,9
2003M12;67,5
2004M01;47,5
2004M02;43
2004M03;49,4
2004M04;49,4
2004M05;50,1
2004M06;57
2004M07;53,8
2004M08;53,7
2004M09;52,1
2004M10;53,1
2004M11;54,1
2004M12;71
2005M01;47
2005M02;44,7
2005M03;48,9
2005M04;52,9
2005M05;52,7
2005M06;58,9
2005M07;56
2005M08;57,9
2005M09;54,8
2005M10;54,6
2005M11;56,3
2005M12;73,1
2006M01;50,4
2006M02;46,6
2006M03;53,4
2006M04;51,8
2006M05;57,8
2006M06;62,3
2006M07;58,4
2006M08;61,1
2006M09;58,4
2006M10;58,5
2006M11;60,7
2006M12;76,9
2007M01;54,4
2007M02;50,2
2007M03;59,7
2007M04;55,5
2007M05;61,5
2007M06;69,2
2007M07;62,9
2007M08;66
2007M09;61,2
2007M10;63,8
2007M11;66,2
2007M12;80,7
2008M01;57,6
2008M02;56,4
2008M03;57,7
2008M04;62,9
2008M05;66,9
2008M06;68,9
2008M07;67,8
2008M08;67,4
2008M09;64,5
2008M10;65,7
2008M11;64,3
2008M12;82,7
2009M01;58,9
2009M02;54,3
2009M03;59,6
2009M04;62,1
2009M05;66,8
2009M06;70,9
2009M07;70,1
2009M08;68,8
2009M09;66,2
2009M10;69,6
2009M11;67
2009M12;87,7
2010M01;60,6
2010M02;56,5
2010M03;67,4
2010M04;59,4
2010M05;65,7
2010M06;72,7
2010M07;71,2
2010M08;69
2010M09;67,4
2010M10;68,9
2010M11;71,6
2010M12;89,1
2011M01;60,2
2011M02;58
2011M03;64,4
2011M04;66,1
2011M05;70,2
2011M06;73,7
2011M07;71
2011M08;73,7
2011M09;70,2
2011M10;70,7
2011M11;73,1
2011M12;91,7
2012M01;64,3
2012M02;62,8
2012M03;70,7
2012M04;64,1
2012M05;73,8
2012M06;78,4
2012M07;72,5
2012M08;75,7
2012M09;70,4
2012M10;73,4
2012M11;75
2012M12;90,3
2013M01;66,3
2013M02;61,8
2013M03;68
2013M04;68,4
2013M05;75,1
2013M06;78,4
2013M07;76,5
2013M08;78,3
2013M09;71,5
2013M10;74,7
2013M11;77,2
2013M12;91,9
2014M01;67,7
2014M02;63,3
2014M03;70
2014M04;72,2
2014M05;78,2
2014M06;80,3
2014M07;78,9
2014M08;78,6
2014M09;75,3
2014M10;77,9
2014M11;77,5
2014M12;97,5
2015M01;69,5
2015M02;65,2
2015M03;75,6
2015M04;71,9
2015M05;77,6
2015M06;85,4
2015M07;82,3
2015M08;80,9
2015M09;77,5
2015M10;80,8
2015M11;80,4
2015M12;99,5
2016M01;69,7
2016M02;69,2
2016M03;72,6
2016M04;77,8
2016M05;81,3
2016M06;88,1
2016M07;82,3
2016M08;84,8
2016M09;79,8
2016M10;80,8
2016M11;85,2
2016M12;100,7
2017M01;72,4
2017M02;69
2017M03;78,3
2017M04;75,2
2017M05;85,7
2017M06;90,6
2017M07;84,4
2017M08;86,6
2017M09;81,3
